"threads cnt",lock-free list with pool",cds::container::michaellist"
2,52344.3,48200.4
5,91995,83082.5
8,85023.6,74928.6
11,77219.6,69060.3
14,71422,63328.6
17,66043.9,56951.4
20,59429.3,51693.5
23,54513,50020.2
26,54921,49129.6
29,54520.7,46633.2
32,51484.2,46975.1
35,64175.4,85284.2
38,91362.3,71615.7
41,90551.5,70874
44,88151.2,69823
47,85255.6,70257.5
50,93487.5,70139.9
53,91049,70028
56,91522.1,68967
59,92263,70001.5
62,90374.3,81063.4
65,97171,95608.2
68,97313.2,94545.9
71,96415.5,95093.5
74,98568.9,94202.5
77,96345.7,94188
80,97193.3,93900.5
83,97442.5,94592.7
86,98181.1,94031.4
89,96383.5,93789.7
92,96533.9,93557.7
95,96491,93679.6
98,96502.8,93599.2
