"threads cnt",coarse-lock list",coarse-lock list with spin-lock",lock-free list",lock-free list with pool",cds::container::michaellist",optimistic-lock list",optimistic-lock with spin-lock list",optimistic-lock lazy delete",optimistic-lock lazy delete with spin-lock list"
2,31342.7,32222,38684.5,51843,46906.8,29112.4,30987.7,30596.3,30711.2
5,28112.2,29005,64484.5,86049,78223.9,47631.9,49317.4,47505.4,48890.3
8,27260.6,27386.8,64101.2,87602.6,75795.9,46764.8,49026,46355.5,49047.1
11,26909.1,26496.8,60360,85358,71004.5,42854,45596.3,42992.1,45437.5
14,25241.5,24768.6,57665.5,78842.2,67162,41575.3,44963.6,42018.6,44988.5
17,26001.4,25486.5,55697.5,77579.2,64534.5,37187.4,39364.2,37950.8,40677.7
20,23122.4,22984.6,56977.6,74881.1,63988.4,39180.7,42276,39049.3,42307.9
23,22931,22875.7,56828.3,70042.7,60201.8,38475.1,40953.1,38684.4,40063.6
26,22451.8,21789,54900.7,66150.2,59307.3,39141.1,41976.6,38567.1,41728.7
29,21886.9,21356.7,55603.4,65651.4,56407.7,37351.6,38979.7,37346.1,38307.2
32,21698.8,20939.6,54688.6,65243.8,54812,37098.7,38027.5,37072.1,38028
35,22441.5,28863.4,66844.6,96804.2,80047.1,49696.7,52291.2,49650.8,52403.7
38,27998,28006.8,65128.9,92817.3,77646.9,48769.4,52001.9,49224.9,51732.5
41,27287.6,26927.6,64203.5,90062.5,77270.6,49389.4,52574.2,49556,52676.9
44,28384.8,28135.4,62357.8,88432,73775.4,46725.6,48649.9,46587.1,48569.6
47,27497.6,26967.5,64457,90728.7,78801.2,49273.9,52824.9,49523.2,53238.1
50,28539,28310.2,65442.1,95508.9,79275.5,49118.5,51730.8,49513.1,51490.9
53,27266.1,27319.9,65782.6,91185,78192.4,49534.3,52317.3,49499.8,52288.7
56,28439.1,28208.3,65806.1,94457.9,78840.4,49064.1,51281.2,48907,51129.8
59,27198.4,26934.5,64392.8,91152.2,78477.5,49403.3,52298,49513.2,52483
62,28473.8,28551.3,64648.1,95003.8,79301.5,48854.7,56196.1,56984.7,58674.5
65,31088.4,30917.5,67540.9,95632.2,93096.9,56993.1,58720,56986.8,58455.3
68,31037.2,30861.7,68401.7,97648.1,94265,56515.7,58449.5,56550.4,58468.8
71,30883.2,30566.5,69276.8,97216.6,94228.2,56508.6,57848.3,56392,58145.3
74,30968.5,31070.1,69464.1,97701,93625,56985.3,57990.5,56395.4,58041.5
77,30822.1,30850.2,69411,97984.4,93880.1,56773.3,57986.2,56628.7,57937.3
