"threads cnt",coarse-lock list",coarse-lock list with spin-lock",lock-free list",lock-free list with pool",cds::container::michaellist",optimistic-lock lazy delete",optimistic-lock lazy delete with spin-lock list"
1,3.83197e+06,3.29856e+06,759905,919581,1.87203e+06,1.09739e+06,1.06665e+06
3,1.39518e+06,1.88424e+06,1.04249e+06,1.07876e+06,1.86158e+06,768722,517078
5,1.28609e+06,1.64413e+06,895556,773304,1.28358e+06,649346,596432
7,865029,1.11284e+06,657969,653892,1.11789e+06,557134,560970
9,1.00552e+06,873932,658487,585014,904044,548468,570684
11,1.03872e+06,1.17555e+06,594534,602200,818535,554188,476270
13,694081,786168,509600,558799,794572,468207,412545
15,986699,786769,575191,585511,819538,471959,476194
17,711852,785989,482997,494602,784336,418560,470540
19,683286,702153,463778,444167,620477,393450,418779
21,683262,680860,474900,460187,758130,407072,383715
23,629958,745493,450160,486051,683844,376849,401526
25,722878,701510,398975,434890,630850,390849,373784
27,614453,599724,371225,465263,589534,373858,400815
29,551707,581979,433557,423119,648442,352475,403641
31,552956,548038,404661,378592,532519,375502,355700
33,572663,598448,411277,416348,609878,323274,352600
49,583368,564178,350833,357872,570826,287542,288430
