"threads cnt",lock-free queue",lock-free queue with pool",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",tbb::concurent_queue",std::queue with mutex",std::queue with spin-lock"
1,2.0026e+06,6.56307e+06,6.40206e+06,3.21795e+06,5.74294e+06,8.39893e+06,7.38084e+06,8.76922e+06
5,1.76606e+06,4.70125e+06,1.16592e+06,3.56755e+06,5.67461e+06,3.47677e+06,3.97913e+06,8.62338e+06
9,1.60105e+06,4.62337e+06,4.31434e+06,3.27446e+06,5.7439e+06,3.18309e+06,4.08302e+06,7.97302e+06
13,1.56511e+06,4.28463e+06,4.37635e+06,3.45565e+06,5.71342e+06,2.98632e+06,3.85733e+06,8.03173e+06
17,1.61264e+06,4.5106e+06,4.2338e+06,3.49565e+06,5.75043e+06,2.88966e+06,3.91883e+06,7.87651e+06
21,1.5051e+06,4.54328e+06,4.14944e+06,3.50314e+06,5.70352e+06,2.83083e+06,4.0925e+06,7.80166e+06
25,1.69084e+06,4.90155e+06,4.21595e+06,3.50067e+06,5.70849e+06,2.50978e+06,3.93246e+06,7.11837e+06
29,1.55081e+06,4.16511e+06,4.15098e+06,3.48397e+06,5.72774e+06,2.4045e+06,3.81157e+06,6.71134e+06
33,1.50664e+06,4.46782e+06,4.16856e+06,3.44966e+06,5.69349e+06,2.24198e+06,3.80159e+06,6.42002e+06
49,1.60832e+06,4.31949e+06,4.05886e+06,3.42459e+06,5.64711e+06,1.52419e+06,3.81825e+06,5.40654e+06
