"threads cnt",Michael hash-table",Michael hash-table with coarse locking lists",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,1.30289e+07,1.4369e+07,2.12276e+07,2.4314e+07,2.24912e+07,2.66697e+07
5,1.23193e+07,1.27287e+07,1.37954e+07,2.31213e+07,1.39206e+07,1.49618e+07
9,1.25767e+07,1.2579e+07,1.33915e+07,2.30758e+07,1.37762e+07,1.4759e+07
13,1.23215e+07,1.27925e+07,1.25533e+07,2.30742e+07,1.38844e+07,1.48009e+07
17,1.23352e+07,1.27973e+07,1.3024e+07,2.26966e+07,1.38915e+07,1.44588e+07
21,1.25429e+07,1.25224e+07,1.28779e+07,2.24791e+07,1.39053e+07,1.46901e+07
25,1.22759e+07,1.2468e+07,1.29932e+07,2.21023e+07,1.39966e+07,1.42961e+07
29,1.25076e+07,1.28036e+07,1.29359e+07,2.22233e+07,1.39557e+07,1.45059e+07
33,1.25404e+07,1.27089e+07,1.3158e+07,2.18788e+07,1.37062e+07,1.44725e+07
49,1.22657e+07,1.26896e+07,1.27888e+07,2.09623e+07,1.38182e+07,1.43733e+07
