"threads cnt",coarse-lock list",coarse-lock list with spin-lock",lock-free list",lock-free list with pool",cds::container::michaellist",optimistic-lock lazy delete",optimistic-lock lazy delete with spin-lock list"
1,4.78229e+06,3.40177e+06,830854,3.773e+06,2.08881e+06,865969,928266
5,737256,1.74513e+06,1.2065e+06,1.1526e+06,1.53209e+06,807273,743777
9,598969,815278,907890,1.12225e+06,1.19769e+06,833034,657150
13,447870,640687,845772,957846,922870,498801,531402
17,380908,524247,698410,930530,890086,493010,472332
33,266004,531440,560544,745616,752250,396002,463886
49,367110,473370,487421,869375,634623,362235,339686
65,260190,336532,432997,678515,583026,333174,347614
81,251341,317939,419006,795003,725137,338712,390291
97,265511,315365,418097,769032,641581,328758,354966
113,258736,308307,420595,756106,627767,311021,344708
