"threads cnt",lock-free queue",lock-free queue with pool",lock-free queue with pool and exponential backoff",lock-free queue with pool and no backoff",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",tbb::concurent_queue",std::queue with mutex",std::queue with spin-lock"
1,3.09786e-07,1.17541e-07,1.1865e-07,1.18239e-07,1.24883e-07,2.54671e-07,1.46774e-07,1.12675e-07,1.1953e-07,1.24754e-07
5,3.31208e-06,1.2522e-06,1.29585e-06,3.02053e-07,3.25948e-07,4.76389e-07,1.31817e-06,2.64277e-07,4.42832e-07,1.22664e-06
9,7.27218e-06,2.53668e-06,2.59063e-06,2.88375e-07,3.20107e-07,4.87959e-07,2.51471e-06,2.01962e-06,4.858e-07,2.43679e-06
13,1.15906e-05,3.85529e-06,3.83427e-06,2.98827e-07,3.20991e-07,5.15145e-07,3.73539e-06,6.31975e-06,7.97479e-07,3.70925e-06
17,1.51519e-05,5.29541e-06,5.16173e-06,2.99653e-07,3.17293e-07,5.30597e-07,4.97301e-06,8.51742e-06,7.87638e-07,5.02084e-06
33,3.13607e-05,1.13743e-05,9.98723e-06,2.91218e-07,3.20443e-07,6.9695e-07,1.01066e-05,1.78117e-05,1.45718e-06,1.12347e-05
49,5.00223e-05,1.79717e-05,1.30834e-05,2.89565e-07,3.18961e-07,9.6087e-07,1.55264e-05,2.8136e-05,1.94716e-06,1.81729e-05
65,5.83738e-05,2.34853e-05,1.4728e-05,2.8982e-07,3.25526e-07,1.39694e-06,2.10534e-05,3.92387e-05,3.19927e-06,2.35786e-05
81,7.56017e-05,2.7303e-05,1.75652e-05,2.89425e-07,3.29144e-07,1.75598e-06,2.6877e-05,5.45671e-05,3.38999e-06,2.73586e-05
97,0.000100001,3.14103e-05,2.19518e-05,3.01759e-07,3.20111e-07,2.20281e-06,3.28027e-05,7.44311e-05,4.10296e-06,3.01759e-05
113,0.000113519,3.52544e-05,2.46136e-05,2.87501e-07,3.30916e-07,2.89745e-06,3.88578e-05,9.81731e-05,4.75786e-06,3.19284e-05

