"threads cnt",lock-free queue",lock-free queue with pool",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",tbb::concurent_queue",std::queue with mutex",std::queue with spin-lock"
1,4.05033e+06,1.73688e+07,1.71646e+07,5.46904e+06,1.24456e+07,1.84903e+07,1.71538e+07,1.50811e+07
5,2.461e+06,2.62685e+06,2.62734e+06,2.70562e+06,1.22432e+07,2.50601e+06,2.89037e+06,1.44512e+07
9,1.81151e+06,2.46191e+06,2.43492e+06,2.5297e+06,1.21187e+07,2.64545e+06,2.74158e+06,1.36854e+07
13,1.43966e+06,2.39552e+06,2.39362e+06,2.45844e+06,1.20092e+07,3.09497e+06,2.72272e+06,1.33015e+07
17,1.26875e+06,2.35604e+06,2.32962e+06,2.44651e+06,1.18915e+07,3.29647e+06,2.64063e+06,1.28401e+07
21,1.30718e+06,2.29419e+06,2.28383e+06,2.35185e+06,1.18155e+07,3.51455e+06,2.67473e+06,1.24703e+07
25,1.18162e+06,2.25339e+06,2.22083e+06,2.29225e+06,1.16697e+07,3.59449e+06,2.5339e+06,1.18212e+07
29,1.11074e+06,2.22204e+06,2.18777e+06,2.26777e+06,1.15821e+07,3.61098e+06,2.5184e+06,1.1609e+07
33,1.11222e+06,2.1704e+06,2.13948e+06,2.22745e+06,1.14543e+07,3.54472e+06,2.47541e+06,1.09353e+07
49,1.08686e+06,2.04191e+06,2.00527e+06,2.10938e+06,1.11206e+07,2.76544e+06,2.3917e+06,9.43172e+06
65,1.08699e+06,1.92831e+06,1.91284e+06,2.03004e+06,1.08368e+07,2.17632e+06,2.25245e+06,7.16255e+06
81,1.1838e+06,1.89135e+06,1.85305e+06,2.00293e+06,1.05636e+07,1.71756e+06,2.18126e+06,4.42855e+06
97,1.03943e+06,1.83242e+06,1.7969e+06,1.95121e+06,1.034e+07,1.40907e+06,2.13734e+06,3.64422e+06
113,1.00151e+06,1.77944e+06,1.7519e+06,1.92118e+06,1.01141e+07,1.23479e+06,2.12386e+06,3.44866e+06

