"threads cnt",Michael hash-table",Michael hash-table with coarse locking lists",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,5.95539e-07,5.79403e-07,8.77088e-07,7.7172e-07,8.27739e-07,6.68784e-07
5,6.62463e-07,5.84479e-07,1.14248e-06,7.23935e-06,8.02485e-07,6.82258e-07
9,5.9715e-07,5.60223e-07,1.35685e-06,1.43805e-05,7.21732e-07,6.10698e-07
13,5.80027e-07,5.63477e-07,1.49988e-06,1.74646e-05,6.62031e-07,5.61597e-07
17,5.78695e-07,5.49395e-07,1.55899e-06,1.75563e-05,6.18955e-07,5.31864e-07
33,5.43302e-07,5.32592e-07,2.02667e-06,2.65286e-05,5.35612e-07,4.65132e-07
49,5.58143e-07,5.31381e-07,2.37221e-06,3.14768e-05,5.032e-07,4.3669e-07
65,5.52611e-07,5.483e-07,2.67838e-06,3.87499e-05,4.98163e-07,4.27888e-07
81,5.57053e-07,5.52854e-07,2.93904e-06,4.1875e-05,4.87451e-07,4.26431e-07
97,6.39326e-07,5.95669e-07,3.66319e-06,4.45888e-05,4.69844e-07,4.3221e-07
113,6.23378e-07,6.22723e-07,4.81171e-06,4.50484e-05,4.56835e-07,4.59739e-07
