"threads cnt",Michael hash-table",Michael hash-table with coarse locking lists",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,24421,24384,24341,24460,24448,24462
5,139520,138731,139631,131752,139367,139773
9,246542,247408,248842,226147,246929,247529
13,341719,341422,341010,309413,340957,341135
17,435182,434641,430223,390775,434104,433828
33,793228,792495,780726,691033,792093,791784
49,1.14009e+06,1.14032e+06,1.12446e+06,964961,1.1365e+06,1.13736e+06
65,1.47283e+06,1.47253e+06,1.45241e+06,1.22504e+06,1.47022e+06,1.47056e+06
81,1.79404e+06,1.7909e+06,1.76107e+06,1.44676e+06,1.78906e+06,1.79009e+06
97,2.09081e+06,2.09185e+06,2.04859e+06,1.6828e+06,2.08848e+06,2.09006e+06
113,2.3801e+06,2.37653e+06,2.31689e+06,1.93704e+06,2.37611e+06,2.37436e+06
