"threads cnt",lock-free queue",lock-free queue with pool",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",std::queue with mutex",std::queue with spin-lock"
1,1.79394e+06,6.60275e+06,6.70691e+06,2.31302e+06,5.67077e+06,7.86096e+06,9.19611e+06
5,1.99938e+06,4.60592e+06,1.29143e+06,1.48722e+06,4.83806e+06,1.86255e+06,6.92399e+06
9,1.79018e+06,3.97038e+06,2.23523e+06,1.83757e+06,4.80283e+06,2.1908e+06,5.85053e+06
13,1.66288e+06,3.63216e+06,2.90012e+06,2.72839e+06,4.71916e+06,2.56274e+06,6.27694e+06
17,1.61771e+06,3.48225e+06,3.01398e+06,2.78554e+06,4.70404e+06,2.60982e+06,4.60761e+06
33,1.56944e+06,2.79695e+06,2.90323e+06,2.682e+06,4.51473e+06,2.36081e+06,3.08074e+06
49,1.01882e+06,2.64847e+06,2.91208e+06,2.50795e+06,4.34006e+06,2.32244e+06,3.02337e+06
65,887510,2.64537e+06,2.66573e+06,2.36554e+06,4.19758e+06,2.27059e+06,2.80767e+06
81,945643,2.55492e+06,2.54958e+06,2.11546e+06,4.02348e+06,2.28215e+06,2.83141e+06
97,953030,2.25192e+06,2.44362e+06,2.10276e+06,3.85373e+06,2.01876e+06,2.3932e+06
113,917569,2.04115e+06,2.06992e+06,2.02845e+06,3.70091e+06,2.00276e+06,2.43571e+06
129,821037,2.12381e+06,1.85015e+06,1.5891e+06,3.55132e+06,1.90802e+06,2.24191e+06
145,889358,1.82141e+06,1.74558e+06,1.46599e+06,3.42446e+06,1.99646e+06,2.16459e+06
161,761729,1.7165e+06,1.88102e+06,1.58692e+06,3.41846e+06,1.85467e+06,2.08703e+06
177,749124,1.65309e+06,1.83771e+06,1.28868e+06,3.38287e+06,1.73536e+06,2.05891e+06
193,633178,1.60056e+06,1.31917e+06,1.38289e+06,3.21235e+06,1.68598e+06,1.99088e+06
209,627529,1.67672e+06,1.52051e+06,1.24586e+06,3.072e+06,1.62938e+06,1.98483e+06
225,546500,1.54333e+06,1.52214e+06,1.16501e+06,2.88322e+06,1.41427e+06,1.93582e+06
241,552181,1.52808e+06,1.13987e+06,1.06371e+06,2.78224e+06,1.53893e+06,1.93532e+06
