"threads cnt",lock-free queue",lock-free queue with pool",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",std::queue with mutex",std::queue with spin-lock"
1,1.97408e+06,7.73523e+06,6.69366e+06,2.07856e+06,5.17566e+06,7.42861e+06,8.20398e+06
5,2.05883e+06,5.21215e+06,1.49652e+06,1.60016e+06,4.42759e+06,2.20659e+06,6.41053e+06
9,1.80969e+06,4.35912e+06,2.03369e+06,1.73721e+06,4.33681e+06,2.69768e+06,5.72715e+06
13,1.73584e+06,3.86632e+06,2.8338e+06,2.79177e+06,4.31684e+06,2.72556e+06,5.81492e+06
17,1.61886e+06,3.66426e+06,2.94799e+06,2.75667e+06,4.28055e+06,2.98653e+06,4.70057e+06
41,1.60924e+06,3.26433e+06,2.9511e+06,2.53626e+06,4.0672e+06,2.68811e+06,3.28235e+06
65,925871,2.64418e+06,2.81108e+06,2.42562e+06,3.81751e+06,2.43489e+06,2.86464e+06
89,892014,2.25381e+06,2.5688e+06,2.25619e+06,3.70406e+06,2.58814e+06,2.46543e+06
113,716328,2.03148e+06,2.20381e+06,1.79195e+06,3.43877e+06,2.47252e+06,2.37843e+06
137,756834,1.87764e+06,2.1428e+06,1.36412e+06,3.24066e+06,2.3705e+06,2.20757e+06
161,579994,1.76359e+06,1.65019e+06,1.57607e+06,3.09008e+06,2.29633e+06,2.09428e+06
185,570572,1.69481e+06,2.03915e+06,1.47786e+06,3.10114e+06,2.08681e+06,2.09995e+06
209,603608,1.63513e+06,1.71296e+06,1.4234e+06,2.88275e+06,1.78594e+06,1.97705e+06
233,494363,1.53695e+06,1.22155e+06,1.16132e+06,2.66569e+06,1.68432e+06,2.03801e+06
