"threads cnt",Michael hash-table",Michael hash-table with coarse locking lists",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,9.4876e-07,7.63061e-07,1.0734e-06,1.08055e-06,9.27899e-07,1.03894e-06
5,1.60075e-06,1.62768e-06,7.31368e-06,8.41154e-06,1.66733e-06,1.79371e-06
9,1.62795e-06,1.64471e-06,1.53184e-05,1.59144e-05,1.66363e-06,1.89406e-06
13,1.73482e-06,1.65853e-06,2.24871e-05,2.33668e-05,1.67497e-06,1.87771e-06
17,1.75611e-06,1.68877e-06,2.94319e-05,3.14752e-05,1.73976e-06,1.8697e-06
33,1.70671e-06,1.98032e-06,5.79029e-05,6.24001e-05,1.80116e-06,2.41211e-06
49,2.15215e-06,2.4998e-06,8.61547e-05,9.65607e-05,2.14082e-06,3.47028e-06
65,2.46274e-06,3.38389e-06,0.000114683,0.000131071,2.63658e-06,5.68619e-06
81,3.81963e-06,4.46691e-06,0.000148421,0.000163597,3.09669e-06,5.37347e-06
97,5.26778e-06,5.71205e-06,0.000172715,0.000198067,3.72233e-06,8.31459e-06
113,4.26729e-06,8.01403e-06,0.000202223,0.000229752,6.6525e-06,8.87843e-06
129,6.18622e-06,8.22724e-06,0.000231522,0.000259358,6.2636e-06,1.18886e-05
145,1.07023e-05,1.15418e-05,0.000258818,0.000287101,7.45972e-06,1.71799e-05
161,1.15639e-05,1.103e-05,0.000292009,0.000309658,6.66408e-06,1.92651e-05
177,1.27603e-05,1.88401e-05,0.000314768,0.00034209,9.41293e-06,1.58542e-05
193,1.34981e-05,1.5297e-05,0.000343976,0.000367964,6.62103e-06,1.71418e-05
209,1.8323e-05,1.77633e-05,0.000383215,0.000393962,1.44302e-05,1.60825e-05
225,1.77934e-05,1.77448e-05,0.000407615,0.000421317,1.60921e-05,1.77276e-05
241,1.81528e-05,1.9181e-05,0.000433267,0.000451147,1.37276e-05,1.85437e-05
