"threads cnt",Michael hash-table",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,2.27511e+06,1.83227e+06,1.86009e+06,2.82187e+06,3.7604e+06
5,957121,948794,1.72696e+06,1.31678e+06,1.65055e+06
9,2.09327e+06,986685,1.693e+06,1.7462e+06,2.40106e+06
13,2.5896e+06,1.03224e+06,1.66469e+06,2.42877e+06,2.5618e+06
17,2.8119e+06,1.04687e+06,1.64916e+06,2.63069e+06,2.86516e+06
33,2.63716e+06,1.01164e+06,1.59459e+06,2.56677e+06,2.83287e+06
49,2.66748e+06,935396,1.51642e+06,2.50075e+06,2.69155e+06
65,1.96484e+06,907055,1.45329e+06,2.45133e+06,2.60299e+06
81,2.16737e+06,886406,1.33946e+06,2.1319e+06,2.11743e+06
97,1.92565e+06,854900,1.26865e+06,2.09163e+06,2.17543e+06
113,1.8335e+06,875938,1.19635e+06,2.23502e+06,2.2583e+06
129,1.67682e+06,853182,1.14196e+06,1.81966e+06,2.17863e+06
145,1.68386e+06,845260,1.10351e+06,1.81264e+06,1.58335e+06
161,1.33118e+06,835616,1.06916e+06,1.92149e+06,2.26995e+06
177,1.19714e+06,754390,992324,1.81588e+06,1.83356e+06
193,1.13228e+06,792492,983091,1.88958e+06,1.76806e+06
209,1.06888e+06,800930,961669,1.61149e+06,1.71784e+06
225,933176,825322,947206,1.26497e+06,1.17419e+06
241,854863,763089,901952,1.111e+06,1.39554e+06
