"threads cnt",[512 buckets]Michael hash-table",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,2.55962e+06,1.81928e+06,1.88592e+06,3.03907e+06,3.7517e+06
2,1.1667e+06,965434,1.74812e+06,1.30374e+06,1.51329e+06
3,1.32414e+06,775901,1.72744e+06,1.49733e+06,1.56605e+06
4,1.01655e+06,798393,1.71834e+06,1.17544e+06,1.29031e+06
5,1.00097e+06,874978,1.70446e+06,1.1113e+06,1.46727e+06
6,1.215e+06,854875,1.69771e+06,1.38878e+06,1.49248e+06
7,1.22761e+06,888772,1.69073e+06,1.19502e+06,1.54149e+06
8,1.3749e+06,864466,1.68306e+06,1.36897e+06,1.57786e+06
9,1.49146e+06,831237,1.66418e+06,1.86452e+06,1.79466e+06
13,2.34006e+06,1.03316e+06,1.64862e+06,2.41919e+06,2.54893e+06
17,2.31681e+06,987837,1.6193e+06,2.56939e+06,2.72384e+06
21,2.49022e+06,1.01086e+06,1.60024e+06,2.70424e+06,2.62065e+06
25,2.55436e+06,1.01088e+06,1.58049e+06,2.59819e+06,2.75261e+06
29,2.47728e+06,992405,1.56291e+06,2.58328e+06,2.64472e+06
33,2.46308e+06,1.0131e+06,1.57382e+06,2.20585e+06,2.59409e+06
37,2.32622e+06,997394,1.54922e+06,2.60831e+06,2.64685e+06
41,2.47538e+06,953098,1.52254e+06,2.53841e+06,2.67784e+06
45,2.45165e+06,994727,1.51329e+06,2.48055e+06,2.62678e+06
49,2.18117e+06,975852,1.47421e+06,2.44604e+06,2.65372e+06
53,2.27307e+06,868517,1.46453e+06,2.4812e+06,2.58771e+06
57,2.05073e+06,958872,1.43521e+06,2.42699e+06,2.43453e+06
61,2.36067e+06,913447,1.393e+06,2.20163e+06,2.62703e+06
65,2.05032e+06,933590,1.40113e+06,1.83041e+06,2.28944e+06
69,1.81626e+06,908192,1.34117e+06,2.01731e+06,2.44495e+06
73,2.10185e+06,903366,1.34155e+06,2.31037e+06,2.33604e+06
77,2.06173e+06,911647,1.35309e+06,2.25665e+06,2.3193e+06
81,2.04281e+06,886816,1.31834e+06,2.35103e+06,2.36962e+06
85,2.06444e+06,882895,1.33523e+06,2.28415e+06,2.20115e+06
