"threads cnt",Michael hash-table",Michael hash-table with coarse locking lists",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,2.52045e+06,2.87817e+06,1.94807e+06,1.96142e+06,2.19353e+06,2.00005e+06
5,3.71072e+06,3.85787e+06,1.73569e+06,1.84251e+06,4.42363e+06,4.54516e+06
9,4.30574e+06,4.28944e+06,1.75172e+06,1.80642e+06,4.2848e+06,4.55466e+06
13,4.30589e+06,4.20107e+06,1.71466e+06,1.78686e+06,4.31573e+06,4.45694e+06
17,4.27074e+06,4.30484e+06,1.7274e+06,1.7639e+06,4.34173e+06,4.38722e+06
33,4.40165e+06,4.36003e+06,1.70527e+06,1.70879e+06,4.26985e+06,4.49867e+06
49,4.34894e+06,4.39514e+06,1.73619e+06,1.69441e+06,4.47273e+06,4.49383e+06
65,4.44755e+06,4.33089e+06,1.69087e+06,1.65291e+06,4.43265e+06,4.46761e+06
81,4.36476e+06,4.42861e+06,1.73823e+06,1.61525e+06,4.53462e+06,4.54796e+06
97,4.39851e+06,4.48465e+06,1.72064e+06,1.58814e+06,4.53582e+06,4.56367e+06
113,4.4869e+06,4.47213e+06,1.73984e+06,1.52881e+06,4.53537e+06,4.55387e+06
129,4.49481e+06,4.47456e+06,1.71336e+06,1.55302e+06,4.49388e+06,4.50434e+06
145,4.49488e+06,4.49919e+06,1.69647e+06,1.5554e+06,4.52974e+06,4.55069e+06
161,4.46796e+06,4.49367e+06,1.72622e+06,1.5711e+06,4.54244e+06,4.56208e+06
