"threads cnt",Michael hash-table",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,4.39628e+06,5.64044e+06,5.67102e+06,8.1605e+06,9.32042e+06
5,1.39221e+06,1.61541e+06,5.37507e+06,1.74623e+06,2.06746e+06
9,1.54436e+06,1.79797e+06,5.12001e+06,1.8564e+06,1.97454e+06
13,1.48667e+06,1.77374e+06,5.01749e+06,1.97468e+06,1.92457e+06
17,1.48036e+06,1.69464e+06,4.78351e+06,1.8037e+06,1.85285e+06
33,1.44507e+06,1.6373e+06,4.4492e+06,2.05789e+06,1.8126e+06
49,1.41878e+06,1.58726e+06,4.26883e+06,1.81457e+06,1.73896e+06
65,1.40345e+06,1.53696e+06,3.96788e+06,1.83617e+06,1.64845e+06
81,1.38064e+06,1.53692e+06,3.7961e+06,1.84899e+06,1.6692e+06
97,1.37895e+06,1.45112e+06,3.59389e+06,1.57534e+06,1.59336e+06
113,1.37067e+06,1.50659e+06,3.47606e+06,1.60819e+06,1.58601e+06
129,1.35537e+06,1.5557e+06,4.00286e+06,1.70281e+06,1.56807e+06
145,1.34557e+06,1.58303e+06,3.70858e+06,1.73982e+06,1.5556e+06
161,1.34769e+06,1.54785e+06,3.59688e+06,1.71757e+06,1.60679e+06
177,1.3497e+06,1.60506e+06,3.47711e+06,1.63228e+06,1.54255e+06
193,1.34227e+06,1.56493e+06,3.25926e+06,1.44e+06,1.54103e+06
209,1.34281e+06,1.59519e+06,3.10467e+06,1.53471e+06,1.5841e+06

