"threads cnt",lock-free queue",lock-free queue with pool",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",tbb::concurent_queue",std::queue with mutex",std::queue with spin-lock"
1,3.77588e+06,1.6155e+07,1.59853e+07,5.07074e+06,1.15883e+07,1.72086e+07,1.59826e+07,1.4044e+07
5,3.19239e+06,9.29614e+06,1.07273e+07,6.8374e+06,1.13113e+07,7.98081e+06,1.03227e+07,1.33233e+07
9,2.97745e+06,8.84218e+06,1.0203e+07,6.80047e+06,1.1091e+07,6.76154e+06,1.02658e+07,1.33526e+07
13,2.89051e+06,9.1009e+06,1.00166e+07,6.70078e+06,1.08974e+07,5.58261e+06,9.91665e+06,1.33304e+07
17,2.79465e+06,8.77489e+06,1.00698e+07,6.68687e+06,1.07385e+07,4.4515e+06,9.85728e+06,1.33531e+07
21,2.62835e+06,8.69078e+06,1.00378e+07,6.59922e+06,1.06587e+07,3.69432e+06,1.04894e+07,1.37473e+07
25,2.61988e+06,9.06214e+06,9.93445e+06,6.59546e+06,1.0602e+07,3.10123e+06,1.01591e+07,1.39285e+07
29,2.50347e+06,8.9257e+06,9.83133e+06,6.49198e+06,1.04853e+07,2.62038e+06,9.87172e+06,1.36388e+07
33,2.39509e+06,8.75729e+06,9.91491e+06,6.52516e+06,1.05162e+07,2.23424e+06,9.85905e+06,1.37114e+07
49,2.22628e+06,9.05752e+06,9.83175e+06,6.41461e+06,1.02533e+07,1.44351e+06,1.02664e+07,1.43407e+07
65,2.2975e+06,8.89069e+06,9.69864e+06,6.31419e+06,1.00555e+07,1.03933e+06,1.04557e+07,1.42017e+07
81,2.5662e+06,8.24209e+06,9.67129e+06,6.25375e+06,9.82336e+06,826799,1.00328e+07,1.31223e+07
97,2.63965e+06,8.9411e+06,9.63993e+06,6.19952e+06,9.62085e+06,676222,9.8331e+06,1.35614e+07
113,2.49983e+06,8.56523e+06,9.65916e+06,6.18143e+06,9.48765e+06,571680,9.81261e+06,1.4074e+07
