"threads cnt",Michael hash-table",Michael hash-table with coarse locking lists",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
16,2.65024e+07,2.71716e+07,1.1876e+07,2.18907e+07,3.48745e+07,3.58273e+07
20,2.69191e+07,2.70756e+07,1.25748e+07,2.3088e+07,3.48004e+07,3.53674e+07
24,2.6632e+07,2.67387e+07,1.26789e+07,2.28463e+07,3.46687e+07,3.69737e+07
28,2.86806e+07,2.74078e+07,1.18582e+07,2.246e+07,3.46868e+07,3.64838e+07
32,2.64683e+07,2.72479e+07,1.1969e+07,2.27631e+07,3.46966e+07,3.6548e+07
36,2.66736e+07,2.72224e+07,1.25647e+07,2.24209e+07,3.44814e+07,3.59962e+07
52,2.5167e+07,2.73798e+07,1.20276e+07,2.16343e+07,3.4419e+07,3.57963e+07
68,2.64681e+07,2.74912e+07,1.04604e+07,2.05959e+07,3.41897e+07,3.61342e+07
84,2.49708e+07,2.65939e+07,1.07946e+07,1.98481e+07,3.42123e+07,3.56433e+07
100,2.47341e+07,2.68936e+07,9.42914e+06,1.86904e+07,3.30508e+07,3.56654e+07
116,2.56406e+07,2.67647e+07,1.04157e+07,1.8271e+07,3.33655e+07,3.48932e+07
