"threads cnt",coarse-lock list",coarse-lock list with spin-lock",lock-free list",lock-free list with pool",cds::container::michaellist",optimistic-lock lazy delete",optimistic-lock lazy delete with spin-lock list"
1,33184.5,31746.2,6500.75,10274,4086.25,6765.75,6892.75
5,25525.8,27303.5,11827.2,17420.5,7297.75,12525.5,12715.8
9,22275.5,23469.5,11793.8,16976.8,7332,12394.8,12442.8
13,20868.8,21761,11743,16837.2,7297.5,12316.2,12346.5
17,20716.2,21005.8,11696.2,17069.5,7374.25,12113.5,12282.2
33,22380.8,31978,11868.2,17444.8,7314,12679.5,12770
49,28635.2,28623.8,11745.2,17247.2,7295.25,12583.2,12677.8
65,27601.5,27216,11917.2,17399.5,7332,12671,12733.8
81,27626.2,26720,11949.2,17436.5,7340.5,12637.5,12633
97,26982.8,25453.2,11822.8,17279.2,7299.75,12576.2,12518.8
113,26559.2,25115.2,11816,17262.8,7333.5,12511.5,12419
129,25960.8,24104.8,11811,17393,7315.75,12551.8,12446.5
145,26763.5,24278.2,11749.8,17416.2,7308.5,12519.8,12472
161,25648,23188.5,11742,17236.2,7280,12654.8,12438
177,25620,23175.8,11772.5,17293,7336.5,12618.8,12293.8
193,25415.5,24900.2,11903.5,17514.8,7277.5,12545,12550.2
