"threads cnt",coarse-lock list",coarse-lock list with spin-lock",lock-free list",lock-free list with pool",cds::container::michaellist",optimistic-lock lazy delete",optimistic-lock lazy delete with spin-lock list"
1,4.51382e+06,3.48624e+06,909818,3.5916e+06,1.92042e+06,694555,851012
3,1.6961e+06,1.60543e+06,1.13151e+06,1.59987e+06,1.49091e+06,680520,640186
5,1.28135e+06,1.21237e+06,696558,1.32264e+06,1.19061e+06,634026,654038
7,911250,870804,589895,1.51781e+06,1.05519e+06,573690,574146
9,976001,870705,559493,1.32466e+06,665100,465934,423938
11,787611,720727,485250,949551,770341,448909,369200
13,651475,512975,542482,770149,656054,414740,373587
15,549961,545146,412295,696682,656810,452547,367064
17,409094,731160,502282,1.16353e+06,688944,411562,405585
19,615824,535803,452342,960765,722797,358128,408315
21,643669,541485,394077,871026,740092,386649,346576
23,689593,514724,416520,753841,606837,313839,359857
25,599444,658705,414722,921336,558762,356540,328012
27,579784,622155,407090,792844,584355,349012,310343
29,496514,450128,356862,607675,561730,297741,310986
31,610215,533910,349986,792831,621033,299718,311190
33,445383,412481,382508,585876,528284,333388,294657
49,371778,383060,323096,731362,587164,282190,290891
65,427790,351746,313624,595776,536793,257776,256221
81,385470,359032,282130,565800,447454,244850,248096
97,351505,320178,294804,530254,480784,231194,234504
113,366683,288341,251340,568100,465253,233233,212618
129,349686,277918,240757,510278,466682,209740,209954
161,326300,246286,229016,488866,396661,212699,191593
193,286543,223860,231631,433858,396896,197843,183652
225,270932,198866,210186,457425,390852,191704,165330
