"threads cnt",lock-free queue",lock-free queue with pool",lock-free queue with pool and exponential backoff",lock-free queue with pool and no backoff",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",std::queue with mutex",std::queue with spin-lock"
1,1.20278e-06,2.42818e-07,2.44838e-07,2.45339e-07,3.24748e-07,6.43869e-07,5.00624e-07,1.61484e-07,1.67535e-07
5,4.04609e-06,2.09666e-06,2.14448e-06,5.14083e-07,6.72268e-07,1.0464e-06,3.35011e-06,8.80556e-07,1.68575e-06
9,7.44697e-06,4.07574e-06,4.09382e-06,5.24476e-07,6.84071e-07,1.03512e-06,6.33879e-06,1.63319e-06,3.29484e-06
13,1.08377e-05,6.02827e-06,5.97324e-06,5.11557e-07,6.82633e-07,1.05492e-06,9.37069e-06,2.33183e-06,4.8986e-06
17,1.42163e-05,7.9766e-06,7.96605e-06,5.21915e-07,6.76879e-07,1.05599e-06,1.26007e-05,3.17724e-06,6.51336e-06
33,2.72859e-05,1.55327e-05,1.50894e-05,5.19024e-07,6.79064e-07,1.35604e-06,2.67129e-05,4.53192e-06,1.29475e-05
49,5.0866e-05,2.3047e-05,2.24759e-05,5.19858e-07,6.74463e-07,1.47187e-06,4.26543e-05,6.65359e-06,1.96353e-05
65,6.82181e-05,3.05087e-05,2.87517e-05,5.227e-07,6.83235e-07,1.43169e-06,6.04577e-05,8.82298e-06,2.66364e-05
81,8.43906e-05,3.78708e-05,3.38672e-05,5.04784e-07,6.67698e-07,1.81258e-06,8.07707e-05,1.08297e-05,3.41091e-05
97,0.000106795,4.54104e-05,3.98251e-05,5.29935e-07,6.90679e-07,2.32306e-06,0.000103306,1.43266e-05,4.128e-05
113,0.000123226,5.31068e-05,4.49929e-05,5.11238e-07,6.94902e-07,2.89976e-06,0.00012837,1.62319e-05,4.87139e-05
129,0.000141159,6.02968e-05,5.17143e-05,5.20233e-07,6.81691e-07,2.70621e-06,0.000156276,1.75819e-05,5.62765e-05
145,0.000163807,6.74779e-05,5.91762e-05,5.34518e-07,6.86329e-07,3.15604e-06,0.000188663,2.04244e-05,6.2256e-05
161,0.000188379,7.41326e-05,6.60902e-05,5.19639e-07,6.9326e-07,2.61148e-06,0.000223689,2.27859e-05,6.84015e-05
177,0.000216251,7.92755e-05,7.28577e-05,5.28375e-07,7.19307e-07,5.01487e-06,0.000264764,2.45559e-05,7.33864e-05
193,0.000245174,8.4121e-05,8.15429e-05,5.15775e-07,6.95647e-07,6.25662e-06,0.000314498,3.15809e-05,7.63562e-05

