"threads cnt",lock-free queue",lock-free queue with pool",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",std::queue with mutex",std::queue with spin-lock"
1,712798,2.2812e+06,1.92342e+06,1.20294e+06,1.45295e+06,2.84626e+06,2.80317e+06
5,1.14751e+06,1.81589e+06,1.8226e+06,1.85739e+06,1.41129e+06,1.87342e+06,2.63631e+06
9,1.13367e+06,1.7899e+06,1.80981e+06,1.87503e+06,1.38166e+06,1.86824e+06,2.54416e+06
13,1.1366e+06,1.77214e+06,1.80625e+06,1.90884e+06,1.35425e+06,1.87289e+06,2.50099e+06
17,1.13849e+06,1.76253e+06,1.81639e+06,1.9112e+06,1.33197e+06,1.88082e+06,2.47429e+06
33,1.15546e+06,1.73096e+06,1.8086e+06,1.9062e+06,1.2309e+06,1.84717e+06,2.35184e+06
49,862756,1.71773e+06,1.8005e+06,1.90965e+06,1.14746e+06,1.82037e+06,2.27108e+06
65,852750,1.69419e+06,1.79834e+06,1.90724e+06,1.06734e+06,1.82162e+06,2.14292e+06
81,840068,1.67838e+06,1.77156e+06,1.90849e+06,996410,1.81233e+06,2.05356e+06
97,824416,1.66526e+06,1.78345e+06,1.90472e+06,934298,1.81587e+06,1.96818e+06
113,817038,1.65832e+06,1.78146e+06,1.87761e+06,873257,1.80794e+06,1.90198e+06
129,796977,1.66075e+06,1.78205e+06,1.87302e+06,818264,1.79912e+06,1.86169e+06
145,748918,1.66779e+06,1.78022e+06,1.85729e+06,764980,1.81928e+06,1.847e+06
161,727432,1.65512e+06,1.78469e+06,1.87444e+06,713424,1.82203e+06,1.83519e+06
177,738068,1.657e+06,1.78886e+06,1.87296e+06,661519,1.80136e+06,1.82398e+06
193,788084,1.65841e+06,1.77813e+06,1.86369e+06,613159,1.80154e+06,1.8039e+06
209,834477,1.66567e+06,1.79206e+06,1.84585e+06,553542,1.81117e+06,1.80906e+06
225,859436,1.68126e+06,1.78974e+06,1.87446e+06,503713,1.79201e+06,1.80388e+06
241,846340,1.6623e+06,1.77726e+06,1.84085e+06,451956,1.79702e+06,1.80439e+06
