"threads cnt",Michael hash-table",Michael hash-table with coarse locking lists",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,24573,24573,24441,24493,24452,24440
5,136896,136346,136359,127396,136188,137264
9,239465,244298,246382,211352,239711,241922
13,337596,338203,339170,294507,338609,336991
17,431092,431400,428714,374157,429176,426498
33,782112,784920,768703,677398,779279,770866
49,1.12588e+06,1.12572e+06,1.10485e+06,948462,1.11854e+06,1.10612e+06
65,1.45135e+06,1.45467e+06,1.41766e+06,1.18529e+06,1.44537e+06,1.42926e+06
81,1.76914e+06,1.77047e+06,1.70431e+06,1.40554e+06,1.75973e+06,1.7396e+06
97,2.06964e+06,2.0654e+06,1.88906e+06,1.59613e+06,2.05824e+06,2.03176e+06
113,2.34726e+06,2.355e+06,1.95252e+06,1.77852e+06,2.33938e+06,2.30101e+06
129,2.61624e+06,2.62063e+06,1.99911e+06,1.87899e+06,2.60411e+06,2.56836e+06
145,2.87255e+06,2.88133e+06,2.00756e+06,1.95922e+06,2.85628e+06,2.8157e+06
161,3.11722e+06,3.12415e+06,2.0595e+06,2.02452e+06,3.10276e+06,3.02684e+06
177,3.34568e+06,3.35169e+06,2.07204e+06,2.08759e+06,3.32703e+06,3.1625e+06
193,3.54782e+06,3.56884e+06,2.07281e+06,2.13796e+06,3.51631e+06,3.24948e+06
209,3.63902e+06,3.70148e+06,2.07957e+06,2.18487e+06,3.58377e+06,3.27075e+06
225,3.71209e+06,3.79437e+06,2.11218e+06,2.23884e+06,3.61835e+06,3.2991e+06
241,3.73646e+06,3.84939e+06,2.07616e+06,2.22835e+06,3.59125e+06,3.26697e+06

